num_nets_with_moves,num_total_moves,est_errors,constraint_diffs,net_id
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,10.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,6.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,28.0,8.0,n500r25
8,5,24.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,30.0,28.0,n100r5
3,15,34.0,26.0,n100r5
5,15,26.0,26.0,n100r5
1,15,28.0,24.0,n500r25
8,15,30.0,30.0,n500r25
15,15,38.0,28.0,n500r25
21,15,38.0,30.0,n500r25
1,20,8.0,6.0,n100r5
3,20,36.0,34.0,n100r5
5,20,38.0,34.0,n100r5
1,20,-1.0,26.0,n500r25
8,20,86.0,50.0,n500r25
15,20,74.0,54.0,n500r25
21,20,64.0,40.0,n500r25
1,35,14.0,12.0,n100r5
3,35,64.0,50.0,n100r5
5,35,48.0,46.0,n100r5
1,35,-1.0,42.0,n500r25
8,35,-1.0,78.0,n500r25
15,35,114.0,76.0,n500r25
21,35,82.0,60.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,8.0,8.0,n100r5
1,5,12.0,2.0,n500r25
8,5,20.0,10.0,n500r25
15,5,6.0,6.0,n500r25
21,5,10.0,10.0,n500r25
1,15,16.0,16.0,n100r5
3,15,24.0,24.0,n100r5
5,15,36.0,30.0,n100r5
1,15,30.0,20.0,n500r25
8,15,36.0,26.0,n500r25
15,15,66.0,28.0,n500r25
21,15,38.0,30.0,n500r25
1,20,16.0,14.0,n100r5
3,20,38.0,32.0,n100r5
5,20,42.0,32.0,n100r5
1,20,36.0,26.0,n500r25
8,20,52.0,40.0,n500r25
15,20,74.0,60.0,n500r25
21,20,62.0,40.0,n500r25
1,35,24.0,22.0,n100r5
3,35,50.0,48.0,n100r5
5,35,54.0,54.0,n100r5
1,35,28.0,28.0,n500r25
8,35,-1.0,72.0,n500r25
15,35,126.0,86.0,n500r25
21,35,86.0,74.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,10.0,2.0,n500r25
15,1,22.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,8.0,n100r5
3,5,12.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,4.0,4.0,n500r25
8,5,20.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,22.0,22.0,n100r5
3,15,26.0,26.0,n100r5
5,15,34.0,30.0,n100r5
1,15,26.0,22.0,n500r25
8,15,-1.0,30.0,n500r25
15,15,30.0,28.0,n500r25
21,15,46.0,30.0,n500r25
1,20,12.0,10.0,n100r5
3,20,36.0,30.0,n100r5
5,20,40.0,40.0,n100r5
1,20,28.0,28.0,n500r25
8,20,46.0,34.0,n500r25
15,20,88.0,50.0,n500r25
21,20,56.0,38.0,n500r25
1,35,16.0,14.0,n100r5
3,35,-1.0,48.0,n100r5
5,35,64.0,62.0,n100r5
1,35,34.0,34.0,n500r25
8,35,120.0,86.0,n500r25
15,35,90.0,60.0,n500r25
21,35,104.0,80.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,20.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,48.0,30.0,n500r25
8,5,26.0,10.0,n500r25
15,5,24.0,12.0,n500r25
21,5,32.0,10.0,n500r25
1,15,18.0,18.0,n100r5
3,15,42.0,42.0,n100r5
5,15,26.0,24.0,n100r5
1,15,18.0,18.0,n500r25
8,15,40.0,30.0,n500r25
15,15,38.0,28.0,n500r25
21,15,-1.0,30.0,n500r25
1,20,34.0,24.0,n100r5
3,20,38.0,32.0,n100r5
5,20,32.0,28.0,n100r5
1,20,28.0,16.0,n500r25
8,20,32.0,32.0,n500r25
15,20,60.0,48.0,n500r25
21,20,56.0,46.0,n500r25
1,35,24.0,22.0,n100r5
3,35,52.0,48.0,n100r5
5,35,56.0,50.0,n100r5
1,35,64.0,48.0,n500r25
8,35,110.0,92.0,n500r25
15,35,88.0,64.0,n500r25
21,35,114.0,92.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,12.0,n500r25
21,1,2.0,2.0,n500r25
1,5,4.0,4.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,10.0,8.0,n500r25
8,5,10.0,10.0,n500r25
15,5,16.0,10.0,n500r25
21,5,28.0,10.0,n500r25
1,15,26.0,20.0,n100r5
3,15,38.0,38.0,n100r5
5,15,44.0,30.0,n100r5
1,15,14.0,14.0,n500r25
8,15,56.0,42.0,n500r25
15,15,64.0,52.0,n500r25
21,15,30.0,30.0,n500r25
1,20,26.0,26.0,n100r5
3,20,32.0,32.0,n100r5
5,20,52.0,52.0,n100r5
1,20,30.0,30.0,n500r25
8,20,-1.0,50.0,n500r25
15,20,50.0,40.0,n500r25
21,20,48.0,40.0,n500r25
1,35,16.0,14.0,n100r5
3,35,74.0,72.0,n100r5
5,35,64.0,60.0,n100r5
1,35,34.0,34.0,n500r25
8,35,72.0,64.0,n500r25
15,35,78.0,68.0,n500r25
21,35,74.0,70.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,4.0,2.0,n500r25
8,1,2.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,20.0,20.0,n100r5
5,5,10.0,10.0,n100r5
1,5,14.0,4.0,n500r25
8,5,22.0,10.0,n500r25
