"identifier","merged_newick","gauss_sd","total_nni_moves","merged_est_error","sum_of_constraint_errors"
n40h4,"(((((((t1,(t2)#H2)___internal6,(t3,(t4,#H2))___internal5),((t5,(t6)#H4)___internal11,(t8,(t7,#H4))___internal10)),(t9,(t10,((t12,((t15,(t16,t17)),((t13,t14)___internal9)#H3)___internal8),(t11,#H3))___internal7))),((t18,t19),(t20,(t21,(t22,(t23,t24)))))),(((t25,t26),(t27,t28)),(((t29,t30),(t31,t32))___internal2,#H1))___internal1),(((t37,t38),(t39,t40)),((t33,(t34,(t35,t36)))___internal4)#H1)___internal3)root;",0.670723915550158,2,4,4.0
n40h4,"(((((((t1,(t2)#H1)___internal2,(t4,(t3,#H1))___internal1),((t5,(t6)#H3)___internal8,(t8,(t7,#H3))___internal7)),(t9,(t10,(((((t15,t17),((t11,(t13,t14))___internal6)#H2)___internal5,t16),t12)___internal4,#H2))___internal3)),((t18,t19),(t20,(((t21,t22),t24),t23)))),(((t25,t26),(t27,t28)),(((t29,t30),(t31,t32))___internal10,#H4))___internal9),((t37,(t38,(t39,t40))),(((t33,t34),(t35,t36))___internal12)#H4)___internal11)root;",1.929587840112816,6,12,12.0
n40h4,"((((((((t1,(t2)#H1)___internal2,(t4,(t3,#H1))___internal1),((t5,(t6)#H2)___internal4,(t8,(t7,#H2))___internal3)),(t9,(t10,((t12,((t15,(t16,t17)),((t13,t14)___internal10)#H4)___internal9),(t11,#H4))___internal8))),((t18,t19),((t20,(t22,(t23,t24))),t21))),(t39,t40)),(t37,t38)),((((t25,t26),(t27,t28))___internal6,#H3),(((((t29,t30),t32),((t33,t34),(t35,t36))),t31)___internal7)#H3)___internal5)root;",1.4152801310460565,5,12,10.0
n40h4,"((((t1,(t2)#H2)___internal5,(t4,(t3,#H2))___internal4),((t9,(t10,((t12,((t15,(t16,t17)),((t13,t14)___internal3)#H1)___internal2),(t11,#H1))___internal1)),(((t18,t19),(t20,(t21,((t22,t23),t24)))),((((t25,t26),(t27,t28)),(((t29,t30),(t31,t32))___internal8,#H4))___internal7,(((t37,t38),(t39,t40)),(((t33,t34),(t35,t36))___internal10)#H4)___internal9)))),((t5,t8),((t6,#H3),(t7)#H3)___internal6))root;",1.159433848172515,2,8,4.0
n40h4,"((t1,((t4,(t2)#H3)___internal9,(t3,#H3))___internal8),(((t8,(t7,#H4))___internal10,((t5,t6)___internal12)#H4)___internal11,((t9,(t10,((t11,((t13,(((t15,t17),t16)___internal7)#H2)___internal6,t14)),(t12,#H2))___internal5)),(((t18,t19),((t20,(t22,(t23,t24))),t21)),(((t25,t26),((t27,t28),((t29,(t30,(t31,t32)))___internal2,#H1))___internal1),((((t33,t34),(t35,t36)),((t37,t38),(t39,t40)))___internal4)#H1)___internal3))))root;",0.18615140521919252,15,26,22.0
n40h4,,3.1615252997039867,3,-1,6.0
n40h4,"(((((((t1,(t2)#H1)___internal2,(t4,(t3,#H1))___internal1),((t5,(t6)#H3)___internal8,(t8,(t7,#H3))___internal7)),(t9,(t10,((((t13,t14),(t15,(t16,t17))),(t11)#H4)___internal10,(t12,#H4))___internal9))),((((t25,(t27,t28)),t26),(((t29,t30),(t31,t32))___internal4,#H2))___internal3,(((t37,t38),(t39,t40)),(((t33,t34),(t35,t36))___internal6)#H2)___internal5)),(t18,t19)),(t20,(((t21,t22),t23),t24)))root;",0.07065890161637851,6,12,12.0
n40h4,"((((((((t2,(t1)#H1)___internal2,t4),(t3,#H1))___internal1,((t7,(t8,#H3))___internal7,((t5,t6)___internal9)#H3)___internal8),(t9,(((t11,t12),((t15,(t16,t17)),((t13,t14)___internal12)#H4)___internal11),(t10,#H4))___internal10)),((t18,t19),((t20,(t21,(t23,t24))),t22))),((t37,(((t33,t34),(t35,t36))___internal6)#H2)___internal5,(t38,(t39,t40)))),((t25,(t26,(t27,t28))),(((t29,(t31,t32)),t30)___internal4,#H2))___internal3)root;",0.4161492281856832,14,26,26.0
n40h4,,2.3334420017963384,4,-1,8.0
n40h4,"((((((((t1,t4),(t3,#H4))___internal10,(t2)#H4)___internal11,(((t5,(t6)#H2)___internal6,t7),(t8,#H2))___internal5),(t9,(t10,((t11,(t12,(((t13,(t14)#H3)___internal9,t15),(t16,t17))))___internal8,#H3))___internal7)),((t18,t19),(((t20,t21),(t23,t24)),t22))),(((t25,t26),((((t29,t30),t32),t31)___internal2,#H1))___internal1,(t27,t28))),(((t37,t38),(t39,t40)),((((t33,t35),t34),t36)___internal4)#H1)___internal3)root;",0.34858347927334365,14,26,26.0
