numtaxa,nretics_true,nretics_est,nretics_inside,nretics_outside,nretics_duplicated,constraint_sizes,estRFerror,gauss_error,constraint_error_sum,replicate_num
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,0.7489080786773928,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,1.302732294064095,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",36.0,0.9009858905058263,24.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.2205583269529976,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.04723769054923552,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",36.0,1.6207574078655749,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",8.0,0.12609560671907602,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,2.3107076960925887,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.4714090912344162,2.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.6343171287498186,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,1.2047468763600513,24.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,1.074325729721562,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,0.3713164357711396,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,1.7593438405727402,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,1.109378496550994,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",4.0,0.23031980377658984,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,2.4090055206465624,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,0.1897740853340087,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,2.2759929530385166,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,1.3013668503959421,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.013522097746048945,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,0.6363385679501078,4.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.885931375020746,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,0.04699352399531258,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,0.7254856842352135,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,0.30569472808821285,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,0.19335739207378153,32.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",48.0,1.5276237590830508,30.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,0.614323835072082,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",18.0,0.8984622904329637,16.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,2.825040256327653,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,0.06838959636191422,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",46.0,0.1745330445943455,38.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",36.0,1.4105889674360292,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",12.0,0.39933271425808947,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,1.0874861694582336,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",18.0,2.159553127427902,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,1.1227074681437386,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,1.1261369736502638,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",8.0,1.4554586921619972,6.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,4.337289466400291,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.6130024058936476,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.67429501850701,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,0.5931448651252738,18.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,1.6046252157830843,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,1.0588556259983852,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,0.17324231061090906,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",40.0,0.8846886028189607,28.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.980930327114283,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,0.9362179799360278,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,0.017983156594843622,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,2.1519566815278193,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.17407411773454146,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,0.6864553459999116,12.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,4.1320251746544985,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,0.49496499147165307,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,0.7452840272574416,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,0.5254248347469535,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,0.17800503547778174,30.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,0.003846737699016522,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,1.7573012418455793,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,1.6075018430544814,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.05027874691544419,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,1.533354382004258,8.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,5.24779478283733,14.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.25588701577489814,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.9663273400646104,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,1.1545599095261743,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,1.3145866312398025,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",4.0,0.5896248704379274,4.0,1
