"ntaxa" "ntrees" "rtime"
"1" 5 100 0.0452930927276611
"2" 5 500 0.169173002243042
"3" 5 1000 0.308253049850464
"4" 6 100 0.0885169506072998
"5" 6 500 0.393075227737427
"6" 6 1000 0.768722057342529
"7" 7 100 0.23261284828186
"8" 7 500 0.893656969070435
"9" 7 1000 1.76338696479797
"10" 8 100 0.431915998458862
"11" 8 500 1.86281514167786
"12" 8 1000 3.52082991600037
"13" 9 100 0.69514799118042
"14" 9 500 3.05800318717957
"15" 9 1000 5.9765830039978
"16" 10 100 1.14102292060852
"17" 10 500 5.11998987197876
"18" 10 1000 9.8657808303833
"19" 11 100 1.80156707763672
"20" 11 500 7.94193911552429
"21" 11 1000 15.9002931118011
"22" 12 100 2.80833697319031
"23" 12 500 11.7153050899506
"24" 12 1000 23.1617760658264
"25" 13 100 3.87402296066284
"26" 13 500 16.8679621219635
"27" 13 1000 33.4219279289246
"28" 14 100 5.22564816474915
"29" 14 500 23.6560139656067
"30" 14 1000 46.7003240585327
"31" 15 100 7.07649612426758
"32" 15 500 32.0984220504761
"33" 15 1000 63.4558730125427
"34" 16 100 9.49225091934204
"35" 16 500 42.7876667976379
"36" 16 1000 84.1946320533752
"37" 17 100 12.3135931491852
"38" 17 500 56.1057441234589
"39" 17 1000 111.102880001068
