nniMoves,edgeheights,constraintdists,estdists
0.5,8.0,8,8
0.5,15.0,10,12
0.5,13.0,8,12
0.5,17.0,10,16
0.5,20.0,12,18
0.5,13.0,6,10
0.5,25.0,14,16
0.5,15.0,10,14
0.5,15.0,10,12
0.5,9.0,6,6
0.5,7.0,6,10
0.5,27.0,10,20
0.5,6.0,2,6
0.5,6.0,8,14
0.5,24.0,12,16
0.5,21.0,12,16
0.5,13.0,6,10
0.5,17.0,6,14
0.5,21.0,10,10
0.5,11.0,6,10
0.5,5.0,4,4
0.5,3.0,2,2
0.5,14.0,8,12
0.5,0.0,0,0
0.5,16.0,8,8
0.5,14.0,10,10
0.5,13.0,10,10
0.5,14.0,6,6
0.5,23.0,12,14
0.5,6.0,4,4
0.5,6.0,4,4
0.5,11.0,6,6
0.5,20.0,10,12
0.5,10.0,6,10
0.5,18.0,10,14
0.5,12.0,10,10
0.5,14.0,8,8
0.5,6.0,6,10
0.5,9.0,8,8
0.5,6.0,6,6
0.5,16.0,10,14
0.5,9.0,8,8
0.5,15.0,10,12
0.5,17.0,8,8
0.5,10.0,6,6
0.5,11.0,6,10
0.5,20.0,12,12
0.5,17.0,10,18
0.5,16.0,14,14
0.5,20.0,10,10
0.5,23.0,10,16
0.5,23.0,12,20
0.5,11.0,6,6
0.5,18.0,10,10
0.5,11.0,10,10
0.5,10.0,12,12
0.5,14.0,8,10
0.5,18.0,12,12
0.5,24.0,12,16
0.5,7.0,6,6
0.5,13.0,8,10
0.5,10.0,4,4
0.5,8.0,6,12
0.5,16.0,8,12
0.5,16.0,8,12
0.5,25.0,14,22
0.5,24.0,12,12
0.5,13.0,8,18
0.5,7.0,4,4
0.5,17.0,6,8
0.5,7.0,2,4
0.5,11.0,4,10
0.5,9.0,8,10
0.5,14.0,6,6
0.5,16.0,12,16
0.5,7.0,4,4
0.5,12.0,8,8
0.5,6.0,6,10
0.5,15.0,10,10
0.5,21.0,10,12
0.5,10.0,6,12
0.5,10.0,6,6
0.5,8.0,6,6
0.5,3.0,2,2
0.5,17.0,8,8
0.5,19.0,8,12
0.5,3.0,4,4
0.5,9.0,8,8
0.5,5.0,4,4
0.5,13.0,8,8
0.5,13.0,8,8
0.5,21.0,12,18
0.5,22.0,12,20
0.5,6.0,6,8
0.5,23.0,12,12
0.5,16.0,8,10
0.5,22.0,18,22
0.5,13.0,10,16
0.5,11.0,6,6
0.5,13.0,8,10
0.5,19.0,10,14
0.5,14.0,6,6
0.5,16.0,14,14
0.5,12.0,8,12
0.5,13.0,8,10
0.5,29.0,14,16
0.5,15.0,10,10
0.5,25.0,10,18
0.5,13.0,10,12
0.5,8.0,6,6
0.5,20.0,14,14
0.5,10.0,6,12
0.5,7.0,2,2
0.5,7.0,6,6
0.5,17.0,8,12
0.5,12.0,10,14
0.5,15.0,8,8
0.5,13.0,8,8
0.5,17.0,10,16
0.5,22.0,10,12
0.5,15.0,8,12
0.5,12.0,6,10
0.5,10.0,6,10
0.5,14.0,10,10
0.5,18.0,12,14
0.5,18.0,8,14
0.5,28.0,14,22
0.5,6.0,6,6
0.5,18.0,10,10
0.5,11.0,6,10
0.5,17.0,10,14
0.5,14.0,10,10
0.5,5.0,6,6
0.5,17.0,8,8
0.5,0.0,0,0
0.5,17.0,8,14
0.5,14.0,10,12
0.5,8.0,6,10
0.5,18.0,10,10
0.5,13.0,12,14
0.5,22.0,8,8
0.5,15.0,8,10
0.5,16.0,12,16
0.5,18.0,12,16
0.5,17.0,10,10
0.5,8.0,8,8
0.5,9.0,8,10
0.5,4.0,6,6
0.5,8.0,6,6
0.5,21.0,8,16
0.5,7.0,4,6
0.5,17.0,12,14
0.5,17.0,10,14
0.5,16.0,6,6
0.5,6.0,4,4
0.5,17.0,10,10
0.5,6.0,6,6
0.5,14.0,10,14
0.5,11.0,8,8
0.5,7.0,2,2
0.5,20.0,12,16
0.5,8.0,4,4
0.5,16.0,8,16
0.5,3.0,2,2
0.5,12.0,6,6
0.5,21.0,8,10
0.5,18.0,10,10
0.5,13.0,8,8
0.5,18.0,10,18
0.5,20.0,14,14
0.5,25.0,14,20
0.5,13.0,10,10
0.5,11.0,8,8
0.5,21.0,14,18
0.5,15.0,6,10
0.5,25.0,14,22
0.5,17.0,12,16
0.5,10.0,8,8
0.5,17.0,12,18
0.5,16.0,8,8
0.5,23.0,10,14
0.5,7.0,4,4
0.5,15.0,8,8
0.5,21.0,10,10
0.5,11.0,8,14
0.5,16.0,10,18
0.5,14.0,6,10
0.5,17.0,10,12
0.5,12.0,8,8
0.5,17.0,8,16
0.5,10.0,8,8
0.5,18.0,8,10
0.5,2.0,2,4
0.5,15.0,8,8
0.5,21.0,12,16
0.5,18.0,12,18
0.5,14.0,10,14
0.5,15.0,8,8
0.5,9.0,6,6
0.5,15.0,6,12
0.5,17.0,12,12
0.5,26.0,12,14
0.5,17.0,10,14
0.5,21.0,12,12
0.5,12.0,6,6
0.5,22.0,8,10
0.5,19.0,10,10
0.5,15.0,8,12
0.5,10.0,6,6
0.5,8.0,6,6
0.5,5.0,4,4
0.5,19.0,14,16
0.5,19.0,12,12
0.5,26.0,14,16
0.5,7.0,6,6
0.5,10.0,8,8
0.5,14.0,8,10
0.5,14.0,12,12
0.5,22.0,12,12
0.5,25.0,14,16
0.5,20.0,12,18
0.5,9.0,8,12
0.5,5.0,4,4
0.5,17.0,14,14
0.5,14.0,8,12
0.5,5.0,4,4
0.5,11.0,8,8
0.5,17.0,8,8
0.5,10.0,4,6
0.5,12.0,6,8
0.5,12.0,6,14
0.5,10.0,6,8
0.5,10.0,8,10
0.5,15.0,10,10
0.5,19.0,12,12
0.5,11.0,6,6
0.5,6.0,6,6
0.5,7.0,4,6
0.5,12.0,4,8
0.5,16.0,10,18
0.5,24.0,16,20
0.5,22.0,14,16
0.5,17.0,12,12
0.5,13.0,10,10
0.5,3.0,2,2
0.5,13.0,8,8
0.5,21.0,12,14
0.5,15.0,8,10
0.5,9.0,8,8
0.5,11.0,6,6
0.5,20.0,14,16
0.5,8.0,8,12
0.5,21.0,10,12
0.5,24.0,14,16
0.5,20.0,12,12
0.5,16.0,12,12
0.5,16.0,8,8
0.5,22.0,14,16
0.5,11.0,4,4
0.5,12.0,8,12
0.5,11.0,8,12
0.5,3.0,2,2
0.5,14.0,10,10
0.5,17.0,10,14
0.5,2.0,2,4
0.5,29.0,14,24
0.5,5.0,4,8
0.5,18.0,8,10
0.5,20.0,10,10
0.5,15.0,6,6
0.5,14.0,6,10
0.5,15.0,8,8
0.5,18.0,14,14
0.5,20.0,12,14
0.5,3.0,2,6
0.5,9.0,8,8
0.5,16.0,8,10
0.5,19.0,10,14
0.5,10.0,10,10
0.5,8.0,6,6
0.5,24.0,10,14
0.5,13.0,8,8
0.5,9.0,4,4
0.5,19.0,10,10
0.5,11.0,10,10
0.5,17.0,14,14
0.5,14.0,8,12
0.5,18.0,8,12
0.5,13.0,4,4
0.5,5.0,4,4
0.5,14.0,8,12
0.5,12.0,8,10
0.5,20.0,8,8
0.5,19.0,10,14
0.5,8.0,6,12
0.5,17.0,10,10
0.5,17.0,8,10
0.5,9.0,10,10
0.5,11.0,4,4
0.5,10.0,8,8
0.5,10.0,8,8
0.5,8.0,6,6
0.5,15.0,6,10
0.5,17.0,10,10
0.5,9.0,6,8
0.5,10.0,4,4
0.5,7.0,6,6
0.5,14.0,8,12
0.5,16.0,8,8
0.5,5.0,4,8
0.5,13.0,10,10
0.5,23.0,12,14
0.5,8.0,4,8
0.5,13.0,10,14
0.5,8.0,6,6
0.5,2.0,2,2
0.5,12.0,10,10
0.5,16.0,10,10
0.5,18.0,12,12
0.5,17.0,8,10
0.5,16.0,6,10
0.5,18.0,10,10
0.5,25.0,14,18
0.5,17.0,12,12
0.5,12.0,12,14
0.5,10.0,14,14
0.5,21.0,14,18
0.5,16.0,10,12
0.5,20.0,12,18
0.5,15.0,6,10
0.5,25.0,20,24
0.5,12.0,6,6
0.5,18.0,10,10
0.5,16.0,8,12
0.5,6.0,6,6
0.5,18.0,10,10
0.5,7.0,6,6
0.5,14.0,10,10
0.5,20.0,10,14
0.5,24.0,14,22
0.5,15.0,12,18
0.5,5.0,6,8
0.5,10.0,10,10
0.5,6.0,4,6
0.5,20.0,10,18
0.5,13.0,8,8
0.5,24.0,12,18
0.5,12.0,8,8
0.5,20.0,12,18
0.5,6.0,6,6
0.5,17.0,10,10
0.5,12.0,6,10
0.5,27.0,14,14
0.5,16.0,8,8
0.5,18.0,8,8
0.5,12.0,8,8
0.5,5.0,6,6
0.5,4.0,4,6
0.5,18.0,10,10
0.5,20.0,10,12
0.5,12.0,8,12
0.5,24.0,10,12
0.5,18.0,6,10
0.5,17.0,12,12
0.5,15.0,10,14
0.5,15.0,8,8
0.5,11.0,6,10
0.5,7.0,2,2
0.5,26.0,14,20
0.5,15.0,8,8
0.5,16.0,10,14
0.5,17.0,8,8
